  r          R           theta    pr             pR         pt
  2.561034  3.836700  1.649407  442.151051  -30.174431  0.000000  -1290.495400  
 3.491034  3.769563  1.640844  120.989968  29.466283  0.000000  -1290.495400  
 3.217428  3.680365  1.537986  -276.717774  23.821901  0.000000  -1290.495400  
 3.000644  3.884939  1.571380  -374.013443  34.237812  0.000000  -1290.495400  
 3.543608  3.705262  1.539335  72.983546  29.549582  0.000000  -1290.495400  
 2.450492  3.998212  1.567033  -346.778544  -16.756794  0.000000  -1290.495400  
 3.124095  3.783131  1.643925  -320.529967  -29.739214  0.000000  -1290.495400  
 2.388668  3.754877  1.640738  -192.906421  27.979386  0.000000  -1290.495400  
 3.563718  3.787768  1.559213  -44.381975  37.515369  0.000000  -1290.495400  
 3.515899  3.736323  1.633711  100.678594  -27.530756  0.000000  -1290.495400  
 3.188423  3.905394  1.598147  290.625870  31.828770  0.000000  -1290.495400  
 3.486108  3.806580  1.503233  124.706271  -32.007971  0.000000  -1290.495400  
 3.502999  3.781280  1.582142  111.578182  37.410379  0.000000  -1290.495400  
 3.309103  3.832749  1.587515  230.761360  36.918251  0.000000  -1290.495400  
 3.386337  3.991777  1.621557  -188.713378  -16.614229  0.000000  -1290.495400  
 3.160632  3.989469  1.651849  -303.702606  -13.572068  0.000000  -1290.495400  
 3.538283  3.865581  1.651683  78.956416  29.191319  0.000000  -1290.495400  
 3.319360  3.927069  1.544696  225.391076  29.486728  0.000000  -1290.495400  
 2.736450  4.013106  1.573881  455.807272  11.543546  0.000000  -1290.495400  
 3.149437  3.664278  1.567295  308.902373  -22.695413  0.000000  -1290.495400  
 2.388341  3.996522  1.492347  191.493531  11.753205  0.000000  -1290.495400  
 2.409527  3.730673  1.502866  -263.463207  24.976274  0.000000  -1290.495400  
 3.307451  3.888994  1.484195  -231.621186  27.039111  0.000000  -1290.495400  
 3.560701  3.868525  1.596926  -49.662279  34.848758  0.000000  -1290.495400  
 2.378417  3.818216  1.638701  140.115014  32.140880  0.000000  -1290.495400  
 3.492658  3.858131  1.606633  119.745656  -34.900563  0.000000  -1290.495400  
 3.400583  3.908543  1.650030  180.450812  -26.847281  0.000000  -1290.495400  
 3.538584  3.815301  1.611048  78.629750  35.814874  0.000000  -1290.495400  
 3.473582  3.744205  1.539029  133.813157  34.261880  0.000000  -1290.495400  
 3.062080  3.902785  1.639761  348.103532  28.751008  0.000000  -1290.495400  
 3.222423  3.994425  1.590363  -274.294873  17.557017  0.000000  -1290.495400  
 3.508877  3.923933  1.551747  106.721935  -30.092614  0.000000  -1290.495400  
 3.380113  3.828105  1.517426  192.263548  34.273314  0.000000  -1290.495400  
 2.862923  3.911586  1.506373  -424.760258  -28.484548  0.000000  -1290.495400  
 2.776717  4.016277  1.561361  448.247041  9.975790  0.000000  -1290.495400  
 3.479945  3.950475  1.491804  -129.245139  21.975385  0.000000  -1290.495400  
 3.516894  3.946360  1.502035  99.798245  -23.864756  0.000000  -1290.495400  
 3.512558  3.735605  1.514954  -103.589976  29.297251  0.000000  -1290.495400  
 3.485608  3.744194  1.609697  125.078957  -33.375388  0.000000  -1290.495400  
 2.870470  3.943741  1.512721  -422.332823  25.312187  0.000000  -1290.495400  
 3.517793  3.767296  1.530166  98.997705  34.759421  0.000000  -1290.495400  
 3.310388  3.966775  1.517237  -230.091357  -21.956452  0.000000  -1290.495400  
 3.381867  3.833579  1.552055  191.266652  36.819869  0.000000  -1290.495400  
 3.146800  3.839278  1.585594  -310.121775  36.751290  0.000000  -1290.495400  
 3.531265  3.806560  1.540265  -86.269039  36.655191  0.000000  -1290.495400  
 2.613960  3.669948  1.614861  457.249131  16.530091  0.000000  -1290.495400  
 2.922254  3.817390  1.610807  -404.429099  35.820166  0.000000  -1290.495400  
 3.379563  3.823836  1.538832  192.575290  -36.371672  0.000000  -1290.495400  
 3.505054  3.773791  1.503883  109.900070  30.574148  0.000000  -1290.495400  
 3.367890  3.780950  1.520122  199.138960  34.025352  0.000000  -1290.495400  
 3.510060  3.641013  1.579597  -105.723932  -10.616331  0.000000  -1290.495400  
 2.497123  3.652517  1.587020  -401.772448  -16.826460  0.000000  -1290.495400  
 3.534030  3.767544  1.650008  -83.454753  -26.580952  0.000000  -1290.495400  
 3.394006  3.763627  1.561968  184.290428  36.922454  0.000000  -1290.495400  
 3.522028  3.927730  1.609564  95.150919  28.812513  0.000000  -1290.495400  
 3.508801  3.663852  1.526104  106.786407  -12.862313  0.000000  -1290.495400  
 3.527876  3.684159  1.586119  -89.614285  27.382988  0.000000  -1290.495400  
 3.505286  3.748292  1.550945  -109.708684  35.597290  0.000000  -1290.495400  
 3.519601  3.844045  1.605540  -97.370764  35.601708  0.000000  -1290.495400  
 3.479142  3.938486  1.524219  -129.827636  26.942461  0.000000  -1290.495400  
 3.110905  3.819976  1.568404  -326.501791  -37.534033  0.000000  -1290.495400  
 2.543304  3.899185  1.624984  -433.859890  -30.647576  0.000000  -1290.495400  
 3.468981  3.890615  1.529175  -137.048582  -32.371288  0.000000  -1290.495400  
 2.834085  3.848516  1.519415  -433.541466  -33.994074  0.000000  -1290.495400  
 3.518295  3.993214  1.629023  -98.548130  15.538170  0.000000  -1290.495400  
 2.899810  3.901233  1.657365  -412.439679  26.232204  0.000000  -1290.495400  
 2.824385  3.872323  1.587235  -436.304032  -34.953652  0.000000  -1290.495400  
 3.526034  3.934826  1.654622  91.388697  -23.406851  0.000000  -1290.495400  
 3.061925  3.715897  1.644138  348.170945  -19.103583  0.000000  -1290.495400  
 3.506309  3.741866  1.611820  -108.864849  -32.854553  0.000000  -1290.495400  
 2.706363  3.869599  1.601673  459.578570  -34.544661  0.000000  -1290.495400  
 3.164399  3.915590  1.577915  301.943887  -31.276350  0.000000  -1290.495400  
 3.533911  3.952938  1.539380  -83.577278  25.661665  0.000000  -1290.495400  
 3.481849  3.838066  1.614121  -127.855472  35.121583  0.000000  -1290.495400  
 3.505295  3.889938  1.626653  109.701592  31.237123  0.000000  -1290.495400  
 2.872017  3.929058  1.628138  -421.829103  27.296391  0.000000  -1290.495400  
 3.229250  3.959182  1.550530  270.969461  -25.025302  0.000000  -1290.495400  
 2.461347  3.716268  1.562447  -362.338129  -33.181577  0.000000  -1290.495400  
 3.160386  3.924808  1.644591  -303.817313  -25.998186  0.000000  -1290.495400  
 2.619263  3.703907  1.542001  458.101541  29.706334  0.000000  -1290.495400  
 3.162421  3.987237  1.577002  -302.867677  19.630837  0.000000  -1290.495400  
 2.467735  3.832222  1.646085  370.608491  30.836368  0.000000  -1290.495400  
 3.516651  3.764639  1.649329  100.014486  -26.464448  0.000000  -1290.495400  
 2.713681  3.700973  1.521264  -458.827381  -24.778256  0.000000  -1290.495400  
 2.903462  3.730535  1.553304  -411.160717  34.291406  0.000000  -1290.495400  
 3.059970  3.782019  1.593242  -349.018509  -36.934621  0.000000  -1290.495400  
 2.916390  3.996977  1.519863  406.556018  -15.111949  0.000000  -1290.495400  
 3.510909  3.799356  1.513523  105.002456  33.611040  0.000000  -1290.495400  
 2.373851  3.845469  1.601246  106.809539  -35.820041  0.000000  -1290.495400  
 3.392143  3.949173  1.529120  185.370108  25.723233  0.000000  -1290.495400  
 3.532755  3.962320  1.549691  -84.761972  -24.460478  0.000000  -1290.495400  
 3.028365  3.805369  1.513806  -362.515098  33.770084  0.000000  -1290.495400  
 2.498431  3.843857  1.653796  -402.933971  29.231255  0.000000  -1290.495400  
 2.410812  3.780004  1.645039  266.921550  29.227315  0.000000  -1290.495400  
 2.863353  3.732557  1.516637  424.623461  -29.285969  0.000000  -1290.495400  
 3.099334  3.908981  1.626238  331.694104  29.639321  0.000000  -1290.495400  
 3.397794  3.804483  1.537238  182.083972  36.425133  0.000000  -1290.495400  
 3.227799  3.823306  1.600262  271.677836  36.547414  0.000000  -1290.495400  
 3.545396  3.884398  1.620746  -70.877276  32.195671  0.000000  -1290.495400  
 3.384004  3.876746  1.640511  190.048083  30.473144  0.000000  -1290.495400  
 2.381085  3.996284  1.538340  -155.966028  16.546338  0.000000  -1290.495400  
 2.547799  3.739607  1.622480  436.143001  30.722477  0.000000  -1290.495400  
 2.824924  3.903315  1.645317  -436.153055  -27.974746  0.000000  -1290.495400  
 3.512765  3.966037  1.535733  103.411232  -23.264347  0.000000  -1290.495400  
 3.371928  3.812078  1.524039  196.880778  35.157629  0.000000  -1290.495400  
 2.950839  3.736440  1.517664  -393.741280  30.030870  0.000000  -1290.495400  
 3.306020  3.835964  1.536453  -232.364903  35.905580  0.000000  -1290.495400  
 2.786776  3.973301  1.585731  445.972371  22.553173  0.000000  -1290.495400  
 3.520730  3.899978  1.618483  -96.343266  -31.130265  0.000000  -1290.495400  
 2.661710  3.964360  1.614048  461.481651  -23.121335  0.000000  -1290.495400  
 2.669122  3.894624  1.534969  461.513895  -32.403839  0.000000  -1290.495400  
 3.527782  3.866108  1.641116  89.705277  -30.912194  0.000000  -1290.495400  
 3.229124  3.754154  1.654825  -271.031416  22.827269  0.000000  -1290.495400  
 3.232448  3.749774  1.499652  -269.406748  -26.960248  0.000000  -1290.495400  
 3.119153  3.826071  1.569165  -322.774057  -37.393230  0.000000  -1290.495400  
 3.301024  3.685279  1.520525  234.953410  20.071951  0.000000  -1290.495400  
 2.967467  3.785757  1.643198  387.300113  -30.089573  0.000000  -1290.495400  
 3.545072  3.920306  1.517362  71.263015  -28.645911  0.000000  -1290.495400  
 3.540824  3.885829  1.563101  -76.158428  34.118923  0.000000  -1290.495400  
 2.397573  4.017110  1.539943  -226.995259  8.565587  0.000000  -1290.495400  
 3.518515  3.825756  1.594935  -98.350375  -36.798708  0.000000  -1290.495400  
 2.495749  3.829850  1.628163  400.533043  -33.741994  0.000000  -1290.495400  
 3.536972  3.785305  1.567872  -80.366654  -37.638157  0.000000  -1290.495400  
 2.386207  3.858697  1.505563  -181.937541  -31.939547  0.000000  -1290.495400  
 2.413835  3.963470  1.513865  274.772722  -22.278165  0.000000  -1290.495400  
 3.504984  3.677201  1.612176  109.957657  -20.502424  0.000000  -1290.495400  
 3.240138  3.786868  1.535226  265.633477  36.036791  0.000000  -1290.495400  
 2.466717  3.710277  1.556842  -369.330408  32.136425  0.000000  -1290.495400  
 2.852149  3.735975  1.487673  -428.135902  19.372917  0.000000  -1290.495400  
 2.504065  3.793935  1.521601  407.746177  34.652566  0.000000  -1290.495400  
 2.865898  3.881256  1.594923  423.809419  34.053439  0.000000  -1290.495400  
 3.387636  3.751399  1.524290  -187.968311  32.845146  0.000000  -1290.495400  
 3.388638  3.774616  1.619121  -187.391984  34.087021  0.000000  -1290.495400  
 3.520824  3.842988  1.569053  -96.257463  36.809819  0.000000  -1290.495400  
 3.480833  3.715020  1.646566  128.598021  -17.411375  0.000000  -1290.495400  
 3.502770  3.796951  1.521157  111.764403  34.658621  0.000000  -1290.495400  
 3.481278  3.741722  1.507632  128.273118  28.228774  0.000000  -1290.495400  
 2.386190  3.734845  1.546058  181.861553  -34.144779  0.000000  -1290.495400  
 3.424547  3.659392  1.551162  166.049446  -19.357035  0.000000  -1290.495400  
 2.704377  3.858585  1.602905  -459.762824  35.111547  0.000000  -1290.495400  
 3.500412  3.992123  1.586019  113.663469  18.276265  0.000000  -1290.495400  
 2.692365  3.804288  1.653103  460.691672  -28.603685  0.000000  -1290.495400  
 3.059953  3.810823  1.557130  -349.025774  -37.481372  0.000000  -1290.495400  
 3.562575  3.850098  1.644849  46.449495  -30.851227  0.000000  -1290.495400  
 3.559603  3.931757  1.609703  -51.455855  -28.303188  0.000000  -1290.495400  
 3.256213  3.882921  1.635373  -257.676927  30.772269  0.000000  -1290.495400  
 3.013789  3.794482  1.562888  -368.602944  37.667910  0.000000  -1290.495400  
 2.775494  3.864505  1.518435  448.513645  33.197027  0.000000  -1290.495400  
 3.240817  3.873865  1.573933  265.298997  35.065247  0.000000  -1290.495400  
 3.473600  3.964809  1.595091  -133.800122  -23.920695  0.000000  -1290.495400  
 3.410388  3.739331  1.550866  -174.640776  34.918925  0.000000  -1290.495400  
 3.501442  3.666628  1.596682  -112.837424  -20.933979  0.000000  -1290.495400  
 3.540372  3.673568  1.571586  -76.662275  25.493376  0.000000  -1290.495400  
 2.654695  3.817797  1.642482  461.309589  31.434052  0.000000  -1290.495400  
 3.290628  3.811535  1.543697  240.302362  -36.858588  0.000000  -1290.495400  
 2.530356  3.724175  1.600104  -426.533338  32.546693  0.000000  -1290.495400  
 3.497350  3.932030  1.560314  116.094636  -29.259654  0.000000  -1290.495400  
 2.546970  3.917936  1.507137  435.731629  -27.928013  0.000000  -1290.495400  
 2.960651  3.967748  1.577029  -389.959229  23.744793  0.000000  -1290.495400  
 3.527289  3.812877  1.653112  90.183335  28.962929  0.000000  -1290.495400  
 2.416664  3.681111  1.602193  281.775051  24.331069  0.000000  -1290.495400  
 3.483564  3.706506  1.596865  -126.594528  -30.489896  0.000000  -1290.495400  
 2.629409  3.807861  1.625507  -459.447497  34.132760  0.000000  -1290.495400  
 2.671446  3.712819  1.581422  -461.493438  32.654195  0.000000  -1290.495400  
 3.288128  3.741944  1.643295  -241.581413  25.326594  0.000000  -1290.495400  
 2.818579  3.865825  1.643089  -437.907563  30.627281  0.000000  -1290.495400  
 3.313798  4.021859  1.610665  228.309928  -3.598457  0.000000  -1290.495400  
 3.374223  3.994156  1.555331  195.591722  17.731813  0.000000  -1290.495400  
 3.520118  3.838761  1.540465  -96.901430  -36.078173  0.000000  -1290.495400  
 2.869816  4.003191  1.614004  422.545139  -13.729865  0.000000  -1290.495400  
 2.622317  3.709172  1.651246  458.545333  -11.096950  0.000000  -1290.495400  
 3.400528  3.690786  1.517421  -180.483081  -20.664866  0.000000  -1290.495400  
 2.959598  3.983639  1.609802  -390.367573  19.446123  0.000000  -1290.495400  
 3.563507  3.920244  1.608157  -44.770628  29.771830  0.000000  -1290.495400  
 3.513837  4.008858  1.512298  -102.483240  -9.925508  0.000000  -1290.495400  
 2.746427  3.880664  1.504157  454.182032  -30.656045  0.000000  -1290.495400  
 2.540102  3.712598  1.590544  432.153982  32.037831  0.000000  -1290.495400  
 2.398952  3.775618  1.638015  231.660459  30.636103  0.000000  -1290.495400  
 3.313945  4.019146  1.520547  228.232892  -4.528090  0.000000  -1290.495400  
 3.068725  3.908596  1.600991  -345.212549  31.384378  0.000000  -1290.495400  
 3.405378  3.693483  1.567496  -177.622435  -29.874756  0.000000  -1290.495400  
 3.541750  3.929511  1.602437  -75.115786  -28.955864  0.000000  -1290.495400  
 3.044722  3.730081  1.538326  -355.578649  32.835197  0.000000  -1290.495400  
 2.561202  3.885228  1.567067  -442.220809  -34.203697  0.000000  -1290.495400  
 3.473180  4.016378  1.560742  134.097749  9.912090  0.000000  -1290.495400  
 3.405197  3.752023  1.495236  177.730172  -25.808001  0.000000  -1290.495400  
 3.519200  3.957195  1.526920  -97.733369  24.318385  0.000000  -1290.495400  
 3.379956  3.857780  1.497131  -192.352641  30.705995  0.000000  -1290.495400  
 2.909388  3.765749  1.558670  409.064948  -36.911221  0.000000  -1290.495400  
 3.479721  4.016900  1.554492  -129.407480  -9.465197  0.000000  -1290.495400  
 2.453394  3.686822  1.547814  -351.137099  -27.143363  0.000000  -1290.495400  
 3.482919  3.811517  1.617578  -127.069975  -35.154681  0.000000  -1290.495400  
 2.796524  3.994676  1.647732  -443.636435  -12.650191  0.000000  -1290.495400  
 3.166670  3.666695  1.624170  -300.881570  -8.053657  0.000000  -1290.495400  
 3.540455  3.839551  1.539674  -76.570378  -36.002247  0.000000  -1290.495400  
 2.984445  3.837314  1.501980  380.569651  -31.954320  0.000000  -1290.495400  
 2.373941  3.856801  1.546752  107.579488  35.620061  0.000000  -1290.495400  
 3.523889  3.994956  1.654318  -93.418671  -11.324927  0.000000  -1290.495400  
 3.140463  3.807997  1.641404  313.043151  -31.450903  0.000000  -1290.495400  
 3.374783  3.714046  1.629387  -195.276634  24.867892  0.000000  -1290.495400  
 3.500130  3.805408  1.554787  113.889595  37.444409  0.000000  -1290.495400  
 3.390941  3.880858  1.574782  186.064837  34.546254  0.000000  -1290.495400  
 2.872513  3.741942  1.523089  -421.666865  -31.751592  0.000000  -1290.495400  
 2.966150  3.990475  1.528851  387.816137  -17.596232  0.000000  -1290.495400  
 2.387028  4.005379  1.596063  -185.689359  14.007521  0.000000  -1290.495400  
 2.472998  3.810835  1.588655  -376.978173  37.333596  0.000000  -1290.495400  
 3.373461  3.904102  1.582993  -196.020126  32.408000  0.000000  -1290.495400  
 2.400972  3.991595  1.518211  -238.252441  16.510999  0.000000  -1290.495400  
 2.411069  3.928480  1.588960  -267.606426  -29.559495  0.000000  -1290.495400  
 3.310972  3.755050  1.517278  229.786745  31.910554  0.000000  -1290.495400  
 3.319415  3.875423  1.506458  -225.362323  31.257505  0.000000  -1290.495400  
 2.982545  4.001140  1.504323  381.330048  12.010361  0.000000  -1290.495400  
 3.219297  3.822025  1.557893  275.812004  -37.320866  0.000000  -1290.495400  
 2.544540  4.007749  1.544311  434.500883  -13.097663  0.000000  -1290.495400  
 3.518775  3.941008  1.641385  -98.117076  -24.404221  0.000000  -1290.495400  
 2.394481  3.724465  1.557678  -215.995753  -33.921753  0.000000  -1290.495400  
 3.467606  3.848530  1.654956  138.005567  28.942192  0.000000  -1290.495400  
 2.731617  3.898868  1.619346  456.530603  -31.159620  0.000000  -1290.495400  
 3.517594  3.692592  1.568715  -99.175635  29.726868  0.000000  -1290.495400  
 2.904462  3.929666  1.610954  -410.808976  28.493851  0.000000  -1290.495400  
 2.384765  3.924912  1.631671  175.102851  27.449794  0.000000  -1290.495400  
 3.480555  3.941954  1.656301  -128.800958  -22.223059  0.000000  -1290.495400  
 3.568001  3.909035  1.653303  -35.625104  26.295013  0.000000  -1290.495400  
 2.701697  4.003527  1.567020  459.997978  15.123467  0.000000  -1290.495400  
 3.486892  3.875848  1.631902  124.120211  -31.623356  0.000000  -1290.495400  
 3.402922  3.766594  1.599719  179.074337  35.947085  0.000000  -1290.495400  
 3.006616  3.937967  1.581845  -371.565183  -28.458426  0.000000  -1290.495400  
 2.868019  3.728552  1.601310  423.126859  32.906023  0.000000  -1290.495400  
 2.745457  3.793398  1.635791  -454.347659  -32.079683  0.000000  -1290.495400  
 3.228641  3.947259  1.558674  271.267031  27.105715  0.000000  -1290.495400  
 2.987501  3.971591  1.624041  -379.342355  -21.059848  0.000000  -1290.495400  
 3.005873  3.800499  1.545316  -371.870693  -36.987708  0.000000  -1290.495400  
 3.478979  3.832593  1.550883  129.946104  -36.805228  0.000000  -1290.495400  
 3.242022  3.769159  1.597643  264.705620  -36.226586  0.000000  -1290.495400  
